param,correlation,p_value,sample_size,coverage_pct,abs_correlation
volume_trend_ratio,0.18242876776360836,0.001845564069476766,289,9.585406301824213,0.18242876776360836
volatility_20d,0.16165406746553973,0.0058809265597966525,289,9.585406301824213,0.16165406746553973
volatility_60d,0.1225302167846356,0.03735737072695208,289,9.585406301824213,0.1225302167846356
avg_volume_20d,0.0986970038838837,0.09399927982393351,289,9.585406301824213,0.0986970038838837
surprise_percent,-0.09360720874062624,0.32187408521143634,114,3.7810945273631837,0.09360720874062624
position_in_range,-0.08241299171947786,0.16231525535472185,289,9.585406301824213,0.08241299171947786
distance_from_high_pct,0.07564243612780894,0.1997773833320234,289,9.585406301824213,0.07564243612780894
eps_estimate,0.07364319453031827,0.4361642029523376,114,3.7810945273631837,0.07364319453031827
momentum_20d,-0.06901065401921887,0.24220569005525175,289,9.585406301824213,0.06901065401921887
avg_abs_return,-0.06838135948793148,0.0005438921343158595,2554,84.70978441127694,0.06838135948793148
return_1m,-0.058819638844657456,0.31902511369074993,289,9.585406301824213,0.058819638844657456
liquidity_score,0.056675523042593635,0.3378594916399359,288,9.55223880597015,0.056675523042593635
avg_volume_60d,0.055172917492055315,0.35000131696068226,289,9.585406301824213,0.055172917492055315
eps_actual,-0.04568284188992373,0.6278215030550691,115,3.814262023217247,0.04568284188992373
price_to_book,0.043994717697288556,0.4586214591283327,286,9.485903814262024,0.043994717697288556
momentum_252d,-0.0396047512753792,0.5024588053839761,289,9.585406301824213,0.0396047512753792
return_1y,-0.03960475123299628,0.5024588058416399,289,9.585406301824213,0.03960475123299628
earnings_count,-0.031338982583575,0.08534128638883537,3015,100.0,0.031338982583575
market_cap_usd,0.03133460795232722,0.5964008318237054,288,9.55223880597015,0.03133460795232722
dollar_volume_daily,0.028070669002508875,0.6346252585868521,289,9.585406301824213,0.028070669002508875
distance_from_low_pct,-0.025465207177459957,0.6663940137924331,289,9.585406301824213,0.025465207177459957
momentum_60d,-0.024026028980545,0.6842055190332721,289,9.585406301824213,0.024026028980545
return_3m,-0.018614742868809944,0.7526808146104254,289,9.585406301824213,0.018614742868809944
directional_consistency,0.018509707728676397,0.349762840808759,2554,84.70978441127694,0.018509707728676397
sma_200,0.015881383122108145,0.7880602062563227,289,9.585406301824213,0.015881383122108145
avg_volume_252d,-0.014550192101820392,0.8054544199842153,289,9.585406301824213,0.014550192101820392
volatility_252d,-0.013201285921636947,0.823178306138747,289,9.585406301824213,0.013201285921636947
price_to_sales,0.0116997831503566,0.8490853431476713,267,8.855721393034825,0.0116997831503566
win_rate,-0.005082346527348846,0.7973925744313562,2554,84.70978441127694,0.005082346527348846
trailing_pe,,,151,5.008291873963516,
